pitcher,SwOE
Jake McGee,0.1371918876809398
James Paxton,0.13023884289831086
Nathan Eovaldi,0.10664906472998326
Joe Musgrove,0.09997733319527134
Greg Holland,0.09711282115613398
Jalen Beeks,0.09464652689271852
Elieser Hernandez,0.09239681429930569
Alex Cobb,0.09097709480909943
Kyle Hendricks,0.08647656312884663
Steven Matz,0.08310039929937625
Duane Underwood Jr.,0.07811855952878025
Matt Shoemaker,0.07314377346443474
Jacob Barnes,0.07310856843488456
Tyler Chatwood,0.0727243922487065
Randy Dobnak,0.07026764423747153
Noe Ramirez,0.06998874833074849
Liam Hendriks,0.069884568050101
Ross Detwiler,0.06701086932476961
Heath Hembree,0.061911962264113954
Charlie Morton,0.060445661206316476
Caleb Ferguson,0.060286373400421284
Sonny Gray,0.059296046656561706
Mike Clevinger,0.057643455864867445
Taylor Widener,0.05736683067662756
Jon Gray,0.05690434797716564
Bryan Garcia,0.05635498969231622
Corbin Burnes,0.05543312747906518
Lucas Giolito,0.054292469774871524
Patrick Sandoval,0.054289983795178645
Wade LeBlanc,0.053676220750355205
Dinelson Lamet,0.05366155509528947
Nick Wittgren,0.053139903691365634
Travis Lakins Sr.,0.052546560453871884
Scott Barlow,0.05232572370699344
Chris Paddack,0.05115125097138785
Jose Cisnero,0.0508454313632307
Danny Duffy,0.050781854157420724
Anthony Bass,0.050595885446789314
Zack Godley,0.04984416126895529
Anthony Misiewicz,0.04940230325300094
Logan Webb,0.04918953230091393
Max Fried,0.049120180203881064
Frankie Montas,0.04872235078911211
Jake Newberry,0.04864039639251654
Gio Gonzalez,0.04851875943197331
T.J. McFarland,0.048406769327508904
Jonathan Hernandez,0.04805913942831534
Ross Stripling,0.047510228743419536
Jose Berrios,0.046224114708991834
Colten Brewer,0.04618428964805241
German Marquez,0.045478526599025564
Matthew Boyd,0.044157659969910855
Kevin Ginkel,0.04410494225365775
Kevin Gausman,0.04303016405848525
Edwin Diaz,0.04193969795516893
Kenta Maeda,0.041323711877470616
Shane Bieber,0.03978344564245123
Pedro Baez,0.0386093073633796
Gerrit Cole,0.03764845761839006
Touki Toussaint,0.03752735496535628
Matt Andriese,0.03733548246384636
Yusmeiro Petit,0.03720649355385877
Evan Marshall,0.03532171123579406
Buck Farmer,0.03527368576945485
Wandy Peralta,0.03509018126498448
Jordan Montgomery,0.034823975424809625
Tejay Antone,0.03469527199469655
Jorge Alcala,0.03382156026219168
Adrian Houser,0.033305225125409565
Andrew Heaney,0.03315274655704094
Max Scherzer,0.03314783697045216
Ryan Thompson,0.03296270741460224
Phillips Valdez,0.032385630666145256
Lance Lynn,0.03232863353144738
Madison Bumgarner,0.0321241349225473
Dallas Keuchel,0.031013281339502933
Alex Colome,0.03098217363593765
Tyler Kinley,0.030968546514448365
Kyle Funkhouser,0.030267510794650364
Justin Wilson,0.0296851983033745
Junior Guerra,0.02938553086177116
Lucas Sims,0.02840291274579491
Adam Plutko,0.028269000551893037
Stefan Crichton,0.027832221292771433
Josh James,0.027263496784453698
Lance McCullers Jr.,0.02634431444285498
Josh A. Smith,0.026130532045170192
Nate Jones,0.025972852910031152
Nate Pearson,0.025949101873308594
Yu Darvish,0.025938823517691882
Jacob deGrom,0.025827395864090517
Martin Perez,0.025570395716682046
Michael Wacha,0.025302064915498097
Daniel Ponce de Leon,0.02509490879697832
Tyler Anderson,0.025094354069730634
Huascar Ynoa,0.024217457751984948
Alex Claudio,0.024198761063345363
Yohan Ramirez,0.023488335485049222
Nick Margevicius,0.023179496576388677
Aaron Nola,0.022199314441589922
Cole Sulser,0.021925380414171056
Brad Hand,0.02178442838009108
Dylan Floro,0.021459760727605436
A.J. Cole,0.021389526935915153
Enoli Paredes,0.02138663379542799
Derek Holland,0.021274699882520894
Kolby Allard,0.02033773994726407
Caleb Baragar,0.02007751763853806
Tanner Scott,0.019983572093234665
Chris Bassitt,0.019724859466106432
Tommy Hunter,0.019007353806360202
Craig Stammen,0.01841617375612259
Mike Minor,0.018027631938457488
Blake Treinen,0.0177168153332308
Ryan Pressly,0.017476029233651214
Rafael Dolis,0.016093342668480344
Jared Hughes,0.015911810161400235
Trevor Bauer,0.015384067314101269
Garrett Richards,0.015121939999224553
Dylan Bundy,0.014782977364595653
Griffin Canning,0.014715597735061934
Tyler Zuber,0.013920328120865891
Robbie Ray,0.013848114230367397
Asher Wojciechowski,0.01364353374946256
Yusei Kikuchi,0.013338658824830712
Dakota Hudson,0.011847629721434612
Josh Lindblom,0.011796737992101245
Adam Wainwright,0.01165472777277665
Luis Cessa,0.01143164084507869
Merrill Kelly,0.011363849414829397
Gregory Soto,0.011081271392492513
Freddy Peralta,0.01044181411082928
Brooks Raley,0.010303163294042095
Ryan Borucki,0.010134505811664793
Chad Green,0.010066079012319153
Clayton Kershaw,0.009911827797305237
Carlos Carrasco,0.009538325265697811
Jonathan Loaisiga,0.009536272554825514
Lou Trivino,0.009248729871243847
Jacob Waguespack,0.008975958611283983
Zach Eflin,0.008601771029471248
Tyler Glasnow,0.008484420836598517
Julio Urias,0.008247632844538628
Taylor Rogers,0.007992025464773178
Shun Yamaguchi,0.007752535811109508
Wander Suero,0.00729411546819903
Jairo Diaz,0.007266986436150932
Robbie Erlin,0.007107637417366315
Tommy Milone,0.006054737369923555
Jimmy Cordero,0.005891319063613233
Rowan Wick,0.005739699057537875
Blake Snell,0.00543281287843617
Austin Brice,0.004671147093176842
Brady Singer,0.0038432678653836467
Brandon Bielak,0.0034216072228623598
Kyle Zimmer,0.003121969848871231
Chasen Shreve,0.0024292103026017724
Josh Osich,0.0023248563549533394
Jake Diekman,0.0023205155684124855
Trevor Rosenthal,0.0023115759992853122
Mark Melancon,0.0021203577249165042
Matt Wisler,0.0016231352670325174
Tyler Rogers,0.0014797720313072206
Yency Almonte,0.0014530897265198838
Diego Castillo,0.0009331194843564714
Emilio Pagan,2.4058516063387433e-05
Cal Quantrill,-0.00025877680353056837
Jake Arrieta,-0.0008341747560078584
Hyun Jin Ryu,-0.0010454283370169234
Thomas Hatch,-0.0011825352969528741
Shane Greene,-0.0020506485752319094
Trevor Richards,-0.002619438775026115
Zach Plesac,-0.0027551466967174394
Spencer Turnbull,-0.002906908864825086
Ty Buttrey,-0.0030359078868193562
Dylan Cease,-0.003247091639477549
Mike Fiers,-0.004824404154093035
Jack Flaherty,-0.004881826652721925
Daniel Castano,-0.00492741470681686
Tyler Webb,-0.00503472712488822
Justus Sheffield,-0.00536879612640901
Andre Scrubb,-0.005460457326557143
Matt Strahm,-0.005519163665465183
Trevor May,-0.00581622838157497
Johan Oviedo,-0.005921095175326138
Walker Buehler,-0.0059927482313166065
Framber Valdez,-0.00612098575536027
Aaron Loup,-0.00628560665692832
Luke Jackson,-0.007140767436336588
Sean Manaea,-0.0072191959181472885
Geoff Hartlieb,-0.007320895158779731
Mike Mayers,-0.007345802000678434
Vince Velasquez,-0.0074019083853610265
Luis Castillo,-0.007757447582224141
Marco Gonzales,-0.008605994466989317
Josh Tomlin,-0.008753781641081135
Zack Wheeler,-0.009268438835139683
Will Harris,-0.009832268179450904
Ryan Tepera,-0.01009209081530571
Alec Mills,-0.011189924110246783
Tyler Matzek,-0.011226246733545758
Brent Suter,-0.011261445677505349
Joe Jimenez,-0.011806194410949458
Tyler Duffey,-0.011813091407269995
Aaron Civale,-0.011925309932872604
Zack Greinke,-0.01194344340440105
Antonio Senzatela,-0.01241678936701072
Blake Taylor,-0.01252441624036202
Anthony Kay,-0.012756531799419059
Kwang Hyun Kim,-0.012769208192731304
Pierce Johnson,-0.013038288149982692
Triston McKenzie,-0.01306254062159308
Luis Patino,-0.013264385501990158
Kendall Graveman,-0.013276848766733618
Brandon Woodruff,-0.013311069809700832
Sam Howard,-0.01345538536643053
Tim Hill,-0.013512880078511324
Patrick Corbin,-0.0135573585146478
Ryne Harper,-0.01371840363548648
Rony Garcia,-0.013797759444792689
Eric Yardley,-0.014034848441095912
Jeff Hoffman,-0.014051407122809584
Matt Foster,-0.014159628387110738
Dovydas Neverauskas,-0.014570261659234335
Tyler Alexander,-0.015356687000363965
Carlos Estevez,-0.015560919765251965
Hector Neris,-0.015702581353124544
Ryan Yarbrough,-0.016021172934147638
Trevor Williams,-0.016635913950307418
Brad Boxberger,-0.016751889470060902
Sergio Romo,-0.016880128976948763
Pablo Lopez,-0.016960995824713457
Taijuan Walker,-0.017006516856985673
Dustin May,-0.017163632346609257
Johnny Cueto,-0.017515553736243764
Tony Gonsolin,-0.017715701290539333
J.A. Happ,-0.018403597010506523
Zach Davies,-0.01844365402194094
Brandon Kintzler,-0.019064385589607602
Ryan Weber,-0.019121064772972693
Devin Williams,-0.0192073569687424
Tyler Mahle,-0.020388914942007348
Nik Turley,-0.02066068749421488
Rich Hill,-0.021318478741708433
Jesus Luzardo,-0.02138716150380549
Jace Fry,-0.021574747668845314
James Karinchak,-0.02199397583238103
Hansel Robles,-0.02260453633817972
Drew Pomeranz,-0.022899984807511906
Steve Cishek,-0.02302894223481417
Rick Porcello,-0.023181717904905478
Grant Dayton,-0.023344402858877882
Luke Weaver,-0.02417500734708871
Richard Rodriguez,-0.024205786045640706
Tanner Roark,-0.024292207368445104
Hector Rondon,-0.02469463387602254
Kyle Freeland,-0.024817549060009846
Anibal Sanchez,-0.024896307357849964
Sandy Alcantara,-0.025771251891274004
Zac Gallen,-0.0260927445137352
Daniel Norris,-0.02675016104696266
Thomas Eshelman,-0.02682185943136696
Felix Pena,-0.02772731803545431
Wes Benjamin,-0.028259637314568525
Jakob Junis,-0.02851049651156415
Seth Lugo,-0.028715563447851884
Pete Fairbanks,-0.028900312983764793
Alex Young,-0.029050422098057773
Drew Smyly,-0.02975573088042438
Kyle Wright,-0.0299251824082143
Michael Fulmer,-0.030367128895695098
Brad Keller,-0.03041581967402072
Justin Dunn,-0.030424739234149456
Trevor Cahill,-0.030587045772994075
Michael King,-0.030844221502041615
Spencer Howard,-0.03148631843393796
JT Brubaker,-0.031593063083270596
Kyle Finnegan,-0.031771147214784856
Paul Fry,-0.03205608222328248
Kenley Jansen,-0.032403252513160535
David Phelps,-0.032477113944261185
Josh Hader,-0.03266597947283606
Deivi Garcia,-0.03355121482853536
Chad Kuhl,-0.033560459025716055
Anthony DeSclafani,-0.033569018542766574
Jonathan Holder,-0.0336496422364228
John Means,-0.033912064939006475
Jeurys Familia,-0.03458472481369972
Joakim Soria,-0.03552981187145748
Wilmer Font,-0.0362255958556805
Brett Anderson,-0.03778691717348355
Jon Lester,-0.037817370439737985
Taylor Hearn,-0.03880523545088741
Miguel Castro,-0.03931904759918971
Austin Gomber,-0.03950325719757225
Alex Reyes,-0.03953620818741035
Casey Sadler,-0.04009331088868817
Julio Teheran,-0.04066740027041111
Cy Sneed,-0.04095574707528691
Adbert Alzolay,-0.041744400260608584
Codi Heuer,-0.04274579025404428
Jaime Barria,-0.0436366254436797
Taylor Clarke,-0.04540940614831671
Josh Fleming,-0.04684569288383831
Adrian Morejon,-0.04722910370045935
Kris Bubic,-0.04746899815240824
Daniel Bard,-0.048612127660727894
Jordan Lyles,-0.04912792924112213
Chris Stratton,-0.04928479010007197
Brandon Workman,-0.049369308513169195
Michael Lorenzen,-0.04979135590011363
Jeremy Jeffress,-0.05063571046326268
Sixto Sanchez,-0.05098203127562258
Chase Anderson,-0.05111606515987071
Daniel Hudson,-0.051662849207248916
Caleb Thielbar,-0.052275402179683544
John Curtiss,-0.053078613297521386
Trevor Rogers,-0.05328874773235171
Kyle Gibson,-0.053667266383271926
Tyler Clippard,-0.05416311186041918
Phil Maton,-0.054472983409853085
Raisel Iglesias,-0.055053099312565544
Cristian Javier,-0.05530811842937512
Carlos Martinez,-0.05566883410160252
Erick Fedde,-0.05569060178513222
Austin Voth,-0.05602713098580187
Michael Pineda,-0.056792058854429554
Nick Nelson,-0.0571946091582916
Josh Staumont,-0.05772223422049426
Matt Barnes,-0.05785959661620144
Casey Mize,-0.057923123086850666
Jake Woodford,-0.06080597166031126
David Peterson,-0.06203716404254824
Ian Anderson,-0.06287738094692463
Ryan Castellani,-0.06391066294518738
Dan Altavilla,-0.06461144866568319
Aaron Slegers,-0.0654512215025571
Steven Brault,-0.06596935573903663
Mitch Keller,-0.06599505484033535
Masahiro Tanaka,-0.06736571101236691
Chris Mazza,-0.06739010636324752
Tarik Skubal,-0.06956357737960939
A.J. Minter,-0.07094667402010608
J.B. Wendelken,-0.07096526823285539
Reynaldo Lopez,-0.07173027740571443
Genesis Cabrera,-0.07235996533806126
Ryan Brasier,-0.07288669539246583
Blake Parker,-0.07322248582089885
Sam Selman,-0.07390562849499846
Mychal Givens,-0.08010672983424418
Nick Vincent,-0.08109117885751109
Keegan Akin,-0.0815119261120228
Adam Ottavino,-0.08479991013805072
Jimmy Herget,-0.0863158481736337
Dane Dunning,-0.0874139646368642
Bryse Wilson,-0.08783880724937101
Jeffrey Springs,-0.08831733620257547
Jorge Lopez,-0.09145517902923565
Jose Urquidy,-0.09721841300048199
Kyle Cody,-0.11816000177995446
Jose Urena,-0.12452666183358513
Chi Chi Gonzalez,-0.14764874709888975
Dean Kremer,-0.16941905135561705
